video_id,text,type
XFQADQYaTuE,நல்ல தகவல். நன்றி. வணக்கம்,pure_tamil
XFQADQYaTuE,சார் அவங்க வேலை முடிஞ்சதும் அதுக்கான பணம் எவ்வளோ அத மட்டும் வாங்கணும் அதிகமா வாங்குறது. அவங்களுக்கு மட்டும் தான் ஆப்பு.,pure_tamil
XFQADQYaTuE,60 watts bulb பயன்படுத்தினால் ammeter value என்ன வரும் என்பதைனை தெளிவு படுத்தவும்.,code_mixed
XFQADQYaTuE,அருமை நண்பா 👍👍,code_mixed
XFQADQYaTuE,கொல்லைகரனுக முகமூடிய கிலுச்சுடிங்க,pure_tamil
XFQADQYaTuE,"உங்கள் பதில் மிகவும்  உண்மை.  ஒரு சில எலக்ட்ரீசியன்,பிளம்பர்கள் ,கேட்கும் பணம் பொருளுக்கு ஆகும் செலவைவிட அதிகம், முன்பெல்லாம் அப்படி இல்லை இப்போது அவர்கள் ஒரே நாளில் கோடீஸ்வரன் ஆகவேண்டும் என்ற நினைப்பு. அதனால் மக்கள் தாங்களாகவே கற்றுக்கொண்டு செய்ய  ஆரம்பித்துவிட்டார்கள். ஒரு நியாயமான பணம் கேட்டால் அவர்களின் தேவை அதிகமாகும்.",pure_tamil
XFQADQYaTuE,அடிப்படையில் இருந்து எங்களுக்கு சொல்லிதர உதவுங்கள்.. இதை பற்றி படிக்க ரெம்ப நாள் ஆசை,pure_tamil
XFQADQYaTuE,வணக்கம் நன்றி. ❤❤😊😊🎉,code_mixed
XFQADQYaTuE,அருமையான பதிவு நன்றி,pure_tamil
XFQADQYaTuE,மாஷா அல்லாஹ்,pure_tamil
XFQADQYaTuE,மிகவும் அருமையான பதிவு அனைவருக்கும் புரியும்படி விளக்கம் அளிக்கிறீர்கள் மிக்க நன்றி,pure_tamil
XFQADQYaTuE,போர்டுசர்விஸ்தெரிந்துகெள்ளவேண்டும்கிளாஸ்எடுக்கும்நபர்இருந்தாகூருங்க ள்,pure_tamil
XFQADQYaTuE,நன்றி ஐயா Thank you,code_mixed
XFQADQYaTuE,"சூப்பர் அண்ணா இதே போல் நிறய வீடியோ போடுங்க...,",pure_tamil
